journal,lower_quartile,median,upper_quartile,count
Fukuoka igaku zasshi = Hukuoka acta medica,7,8,10,13
Fukushima journal of medical science,8,8,9,4
Functional neurology,8,12,15,13
Fungal genetics and biology : FG & B,9,10,14,33
Future microbiology,9,10,16,6
GMHC treatment issues : the Gay Men's Health Crisis newsletter of experimental AIDS therapies,7,7,10,6
Gan to kagaku ryoho. Cancer & chemotherapy,10,12,15,285
Gastroenterology,11,14,18,298
Gene,10,13,17,359
Gene expression,13,14,21,7
Genes & development,12,15,20,118
"Genetic counseling (Geneva, Switzerland)",10,12,14,14
Genetic testing,13,16,17,9
"Genetic, social, and general psychology monographs",8,10,10,5
Genetika,7,8,11,129
Genome informatics. International Conference on Genome Informatics,5,8,9,7
Genomics,12,14,17,169
Geobiology,10,11,12,9
Geriatrics,7,8,11,12
Gesnerus,7,8,8,8
Gewina,6,8,9,3
Gigiena i sanitariia,8,10,12,60
Ginekologia polska,9,13,14,67
Giornale italiano di cardiologia (2006),6,8,11,6
Giornale italiano di medicina del lavoro ed ergonomia,5,7,11,33
Glas. Srpska akademija nauka i umetnosti. Odeljenje medicinskih nauka,9,9,9,1
Global journal of health science,13,15,16,6
"Growth, development, and aging : GDA",8,8,9,4
Gut,11,13,16,215
Gynecologic oncology,11,13,15,207
HIV clinical trials,10,15,20,7
HIV/AIDS policy & law review / Canadian HIV/AIDS Legal Network,4,6,8,7
Harefuah,7,9,12,83
Harvard business review,6,9,10,21
Hawaii medical journal,8,10,17,23
Health & social work,9,13,15,18
Health and history,8,8,11,2
Health and human rights,13,13,13,1
Health care financing review,11,12,14,18
Health care for women international,12,14,17,28
Health care management science,7,11,12,7
Health care strategic management,7,8,9,8
Health data management,9,10,11,5
Health devices,6,7,10,8
Health estate,6,6,8,13
Health facilities management,7,7,8,2
Health law in Canada,7,7,11,2
Health management technology,10,10,13,2
"Health matrix (Cleveland, Ohio : 1991)",6,6,7,2
Health physics,7,9,12,119
"Health progress (Saint Louis, Mo.)",8,10,12,20
Health promotion journal of Australia : official journal of Australian Association of Health Promotion Professionals,10,10,15,4
Health services research,12,15,18,32
Health statistics quarterly / Office for National Statistics,10,10,18,2
Healthcare benchmarks and quality improvement,6,8,10,11
Healthcare executive,6,6,13,2
Healthcare financial management : journal of the Healthcare Financial Management Association,6,8,10,48
Healthcare informatics : the business magazine for information and communication systems,7,7,8,4
Heart (British Cardiac Society),12,14,16,74
Helicobacter,13,16,17,26
Hematological oncology,11,13,15,13
Hepato-gastroenterology,11,14,17,202
"Hepatology (Baltimore, Md.)",12,15,18,215
Heredity,8,9,11,50
Herpes : the journal of the IHMF,9,9,9,1
"Hindsight (Saint Louis, Mo.)",9,9,9,1
Hinyokika kiyo. Acta urologica Japonica,8,10,13,123
Hiroshima journal of medical sciences,10,11,13,7
Histology and histopathology,12,14,16,41
History and philosophy of the life sciences,7,7,12,6
History of psychiatry,11,11,11,1
History of psychology,7,7,10,5
Homeostasis in health and disease : international journal devoted to integrative brain functions and homeostatic systems,7,7,7,1
Hormone research,10,12,16,65
"Hormones (Athens, Greece)",11,14,14,5
Hospital case management : the monthly update on hospital-based care planning and critical paths,7,8,8,3
Hospital topics,6,9,12,9
Hospitals & health networks / AHA,8,9,11,30
Human factors,8,11,13,24
Human genetics,9,12,16,153
Human pathology,10,14,17,168
Human reproduction and genetic ethics,10,10,10,1
Hypertension,12,15,19,223
IARC scientific publications,8,10,14,34
IEEE transactions on nanobioscience,8,9,11,14
IET nanobiotechnology / IET,13,13,13,1
IET systems biology,4,4,8,2
Immunity,13,18,20,61
Immunogenetics,10,12,15,78
Immunohematology / American Red Cross,9,9,11,4
Immunology,11,13,16,180
Imprint,6,6,8,2
In silico biology,8,9,11,10
"In vivo (Athens, Greece)",10,13,16,59
Indian heart journal,9,12,13,21
Indian journal of biochemistry & biophysics,8,11,15,27
Indian journal of experimental biology,7,9,13,95
Indian journal of leprosy,7,10,12,30
Indian journal of medical ethics,10,10,10,1
Indian journal of pathology & microbiology,8,10,12,61
Indian journal of physiology and pharmacology,9,10,13,44
Indian journal of public health,8,8,10,8
Infection and immunity,10,12,15,620
Infectious disease clinics of North America,3,3,3,1
Infectious diseases in obstetrics and gynecology,10,15,21,3
Influenza and other respiratory viruses,11,16,18,11
Informatics in primary care,10,10,12,8
Information processing in medical imaging : proceedings of the ... conference,11,14,15,11
"Inquiry : a journal of medical care organization, provision and financing",9,12,15,25
Insight (American Society of Ophthalmic Registered Nurses),5,5,5,3
International MS journal / MS Forum,8,8,9,2
International archives of allergy and immunology,11,14,17,71
International dental journal,12,16,19,31
International heart journal,10,12,15,12
International journal of adolescent medicine and health,11,14,16,15
International journal of aging & human development,8,11,14,35
International journal of bioinformatics research and applications,5,6,8,7
International journal of cancer. Journal international du cancer,13,15,19,436
International journal of chronic obstructive pulmonary disease,16,20,21,7
International journal of clinical pharmacology and therapeutics,12,13,17,32
International journal of computational biology and drug design,4,4,8,2
International journal of computerized dentistry,10,11,13,7
International journal of data mining and bioinformatics,5,5,5,4
International journal of emergency mental health,7,10,12,8
International journal of experimental pathology,12,14,17,25
International journal of fertility and women's medicine,12,13,15,5
International journal of health care quality assurance,10,11,15,9
"International journal of health services : planning, administration, evaluation",9,11,14,28
International journal of immunopathology and pharmacology,12,14,18,24
International journal of medical microbiology : IJMM,8,12,13,15
International journal of occupational and environmental health,9,13,16,15
International journal of occupational safety and ergonomics : JOSE,8,11,13,14
International journal of oral science,18,18,27,2
"International journal of orthodontics (Milwaukee, Wis.)",11,11,11,2
International journal of palliative nursing,8,11,15,17
International journal of pharmaceutical compounding,15,15,15,1
International journal of psychiatry in medicine,9,12,14,29
International journal of radiation biology,9,12,15,72
"International journal of radiation oncology, biology, physics",10,13,16,316
International journal of systematic and evolutionary microbiology,11,14,17,135
International journal of yoga therapy,13,13,13,1
International microbiology : the official journal of the Spanish Society for Microbiology,7,9,10,11
International surgery,9,10,14,48
"Interventional neuroradiology : journal of peritherapeutic neuroradiology, surgical procedures and related neurosciences",9,9,13,4
Intervirology,9,12,16,32
Investigative ophthalmology & visual science,12,14,18,370
Iowa medicine : journal of the Iowa Medical Society,6,6,6,1
Irish medical journal,9,13,15,35
Isis; an international review devoted to the history of science and its cultural influences,10,10,13,4
Italian heart journal. Supplement : official journal of the Italian Federation of Cardiology,5,9,12,7
Italian journal of anatomy and embryology = Archivio italiano di anatomia ed embriologia,11,12,17,12
JAAPA : official journal of the American Academy of Physician Assistants,8,9,17,3
JPMA. The Journal of the Pakistan Medical Association,9,12,15,70
JSLS : Journal of the Society of Laparoendoscopic Surgeons / Society of Laparoendoscopic Surgeons,9,11,12,30
Japan-hospitals : the journal of the Japan Hospital Association,5,5,5,2
Japanese journal of clinical oncology,11,15,17,77
Japanese journal of ophthalmology,12,14,17,53
Joint Commission journal on quality and patient safety / Joint Commission Resources,8,10,14,21
Journal (Indiana Dental Association),5,7,14,3
Journal de chirurgie,6,8,11,41
Journal de pharmacie de Belgique,4,4,5,3
Journal for healthcare quality : official publication of the National Association for Healthcare Quality,8,10,11,17
Journal of AHIMA / American Health Information Management Association,6,8,10,10
Journal of AOAC International,7,10,12,89
Journal of Asian natural products research,5,7,10,31
"Journal of Ayub Medical College, Abbottabad : JAMC",10,12,14,31
Journal of B.U.ON. : official journal of the Balkan Union of Oncology,11,14,17,27
Journal of Christian nursing : a quarterly publication of Nurses Christian Fellowship,7,7,16,2
Journal of LGBT health research,14,14,20,2
Journal of National Black Nurses' Association : JNBNA,9,10,15,9
Journal of UOEH,8,10,13,23
Journal of acquired immune deficiency syndromes,11,13,15,20
Journal of acquired immune deficiency syndromes (1999),13,15,17,82
Journal of addiction medicine,14,14,15,4
Journal of aerosol medicine : the official journal of the International Society for Aerosols in Medicine,8,10,11,11
Journal of aerosol medicine and pulmonary drug delivery,9,12,15,7
Journal of aging & social policy,9,11,12,13
Journal of aging and physical activity,15,17,19,8
Journal of agricultural safety and health,10,14,16,11
Journal of analytical toxicology,7,9,12,75
Journal of applied biomechanics,10,11,12,13
Journal of applied measurement,6,6,8,6
Journal of aquatic animal health,10,10,12,4
Journal of avian medicine and surgery,7,7,7,4
Journal of bacteriology,8,11,14,919
Journal of basic and clinical physiology and pharmacology,10,14,14,13
Journal of basic microbiology,7,9,12,35
Journal of biological regulators and homeostatic agents,11,13,14,14
Journal of biological rhythms,8,10,13,14
Journal of biomedical nanotechnology,10,12,14,16
Journal of cancer research and clinical oncology,12,15,18,86
Journal of cancer survivorship : research and practice,14,15,17,6
Journal of cardiovascular magnetic resonance : official journal of the Society for Cardiovascular Magnetic Resonance,13,14,16,16
Journal of cellular physiology,12,15,19,205
Journal of cerebral blood flow and metabolism : official journal of the International Society of Cerebral Blood Flow and Metabolism,11,14,17,95
Journal of chemical information and modeling,8,10,13,54
Journal of child sexual abuse,10,12,21,3
Journal of chromatography,6,8,11,168
Journal of chromatography. A,5,7,10,383
"Journal of chromatography. B, Analytical technologies in the biomedical and life sciences",7,9,12,156
Journal of clinical epidemiology,9,13,15,69
Journal of clinical microbiology,8,11,14,570
Journal of clinical oncology : official journal of the American Society of Clinical Oncology,13,16,19,264
Journal of clinical sleep medicine : JCSM : official publication of the American Academy of Sleep Medicine,14,16,20,12
"Journal of comparative physiology. A, Sensory, neural, and behavioral physiology",8,10,12,15
Journal of computer assisted tomography,8,10,14,131
Journal of continuing education in nursing,7,8,10,24
Journal of cosmetic science,5,7,8,10
Journal of cultural diversity,10,12,21,10
Journal of dance medicine & science : official publication of the International Association for Dance Medicine & Science,13,13,13,1
Journal of dental education,12,14,18,44
Journal of dental research,9,13,17,115
Journal of drug education,10,11,14,18
Journal of drugs in dermatology : JDD,9,13,16,33
Journal of economic entomology,7,9,11,90
Journal of elder abuse & neglect,10,10,13,4
Journal of endourology / Endourological Society,9,12,15,88
"Journal of environmental biology / Academy of Environmental Biology, India",6,7,9,32
Journal of environmental health,9,10,12,16
"Journal of environmental pathology, toxicology and oncology : official organ of the International Society for Environmental Toxicology and Cancer",9,12,14,27
Journal of environmental quality,7,9,11,67
Journal of environmental science & engineering,6,10,15,15
Journal of environmental sciences (China),6,8,10,59
Journal of epidemiology / Japan Epidemiological Association,13,15,18,21
Journal of ethnicity in substance abuse,13,14,16,5
Journal of experimental therapeutics & oncology,14,16,20,3
Journal of food protection,9,12,14,110
Journal of general microbiology,7,9,11,100
Journal of gerontological nursing,7,9,12,26
Journal of glaucoma,14,16,18,33
Journal of gravitational physiology : a journal of the International Society for Gravitational Physiology,16,16,16,1
Journal of health & life sciences law,3,3,3,1
Journal of health & social policy,15,18,18,5
Journal of health and human services administration,9,13,16,5
Journal of health and social behavior,10,12,15,15
Journal of health care chaplaincy,11,11,12,4
Journal of health care finance,7,9,20,7
Journal of health organization and management,7,10,11,7
Journal of health services research & policy,8,12,15,15
"Journal of health, population, and nutrition",12,15,16,17
Journal of healthcare information management : JHIM,9,10,12,8
Journal of healthcare management / American College of Healthcare Executives,7,9,13,8
Journal of healthcare risk management : the journal of the American Society for Healthcare Risk Management,6,10,14,7
Journal of herbal pharmacotherapy,17,17,17,1
Journal of hospital marketing & public relations,10,10,10,1
Journal of human ergology,9,9,12,7
Journal of immigrant health,15,15,15,4
Journal of immunological methods,9,12,15,245
"Journal of immunology (Baltimore, Md. : 1950)",13,16,19,1124
"Journal of insurance medicine (New York, N.Y.)",9,10,14,6
Journal of internal medicine,11,14,17,68
Journal of investigational allergology & clinical immunology,12,13,16,30
Journal of law and medicine,5,7,11,14
Journal of leukocyte biology,12,14,18,103
Journal of mass spectrometry : JMS,8,10,11,35
Journal of medical and dental sciences,16,18,21,5
Journal of medical microbiology,9,12,15,115
Journal of medical systems,7,9,10,39
Journal of medicinal chemistry,10,13,17,450
Journal of medicine,10,11,12,9
Journal of medicine and life,10,10,11,6
Journal of microbiological methods,6,10,12,60
Journal of microscopy,6,7,10,58
Journal of molecular biology,10,13,16,443
Journal of motor behavior,10,11,13,8
Journal of music therapy,6,14,16,9
Journal of nanoscience and nanotechnology,9,11,13,93
Journal of natural products,9,11,13,170
Journal of neural transmission. Supplementum,11,12,15,9
Journal of neurochemistry,12,16,20,439
Journal of neuroimmunology,11,15,18,143
"Journal of neurology, neurosurgery, and psychiatry",11,13,16,211
Journal of neuropathology and experimental neurology,12,14,18,77
Journal of neuropsychology,17,17,20,2
Journal of neurosurgery,9,12,16,297
Journal of neurosurgery. Pediatrics,11,15,20,32
Journal of neurosurgery. Spine,11,13,16,28
"Journal of nuclear medicine : official publication, Society of Nuclear Medicine",10,13,16,221
Journal of nursing measurement,12,15,19,7
Journal of nutrigenetics and nutrigenomics,7,7,22,2
Journal of nutrition for the elderly,11,11,13,8
Journal of opioid management,11,17,20,7
Journal of oral and maxillofacial surgery : official journal of the American Association of Oral and Maxillofacial Surgeons,12,16,20,110
Journal of orofacial pain,15,16,20,10
Journal of orthopaedic research : official publication of the Orthopaedic Research Society,10,13,16,124
Journal of palliative care,10,10,12,8
Journal of pediatric endocrinology & metabolism : JPEM,11,13,15,44
Journal of pediatric hematology/oncology,10,12,16,68
Journal of pediatric ophthalmology and strabismus,10,12,13,37
Journal of perioperative practice,5,7,7,8
Journal of pharmacokinetics and biopharmaceutics,7,8,11,17
Journal of physiological anthropology,11,13,15,6
Journal of physiotherapy,11,11,12,5
"Journal of plastic, reconstructive & aesthetic surgery : JPRAS",12,14,16,54
Journal of preventive medicine and hygiene,12,12,19,2
Journal of primary health care,9,13,18,7
Journal of psychoactive drugs,8,11,13,16
Journal of psychosocial nursing and mental health services,9,10,14,18
Journal of public health dentistry,11,16,20,19
"Journal of refractive surgery (Thorofare, N.J. : 1995)",12,14,15,46
Journal of registry management,3,3,9,2
Journal of research in health sciences,9,9,9,1
Journal of sport & exercise psychology,11,13,14,9
Journal of sport rehabilitation,10,11,13,6
Journal of submicroscopic cytology and pathology,8,11,15,21
Journal of surgical oncology,11,13,16,98
Journal of surgical orthopaedic advances,10,12,14,8
Journal of the Academy of Nutrition and Dietetics,14,14,22,2
Journal of the Air & Waste Management Association (1995),6,8,10,50
Journal of the American Academy of Audiology,9,12,14,35
Journal of the American Academy of Dermatology,8,11,14,183
Journal of the American College of Cardiology,12,14,17,299
Journal of the American College of Surgeons,11,14,16,71
Journal of the American Dietetic Association,10,15,18,72
Journal of the American Geriatrics Society,11,14,17,156
Journal of the American Mosquito Control Association,5,7,9,49
Journal of the American Society for Mass Spectrometry,7,9,12,61
Journal of the American Society of Nephrology : JASN,13,16,18,127
Journal of the American Veterinary Medical Association,9,11,14,186
Journal of the California Dental Association,9,13,15,23
Journal of the Egyptian National Cancer Institute,10,11,15,5
Journal of the Egyptian Society of Parasitology,9,11,14,44
Journal of the Indian Medical Association,7,10,12,62
Journal of the International Academy of Periodontology,13,13,14,4
Journal of the Irish Dental Association,10,12,14,5
Journal of the Massachusetts Dental Society,5,7,8,3
Journal of the Medical Association of Georgia,10,10,10,1
Journal of the Medical Association of Thailand = Chotmaihet thangphaet,9,12,16,173
Journal of the Mississippi State Medical Association,6,11,14,7
Journal of the National Cancer Institute,11,14,17,201
Journal of the National Medical Association,8,11,13,90
Journal of the New Jersey Dental Association,11,11,11,1
Journal of the Royal Society of Medicine,8,10,13,38
Journal of the Society for Integrative Oncology,9,9,18,2
Journal of the South African Veterinary Association,7,9,11,36
Journal of the South Carolina Medical Association (1975),7,9,11,5
Journal of the history of biology,11,11,11,1
Journal of the history of dentistry,6,6,9,4
Journal of toxicology and environmental health. Part A,11,13,18,49
"Journal of toxicology and environmental health. Part B, Critical reviews",8,9,10,3
Journal of tropical pediatrics,13,14,17,31
Journal of vascular research,12,16,19,24
Journal of vascular surgery,12,15,19,210
Journal of vector borne diseases,8,9,12,10
Journal of vestibular research : equilibrium & orientation,10,11,13,16
Journal of veterinary dentistry,9,10,12,12
"Journal of veterinary medicine. A, Physiology, pathology, clinical medicine",8,12,15,11
Journal of virology,10,13,16,844
Journal of visualized experiments : JoVE,5,7,9,58
Journal of wildlife diseases,9,12,14,98
Journal of wound care,8,13,17,22
Journal of zoo and wildlife medicine : official publication of the American Association of Zoo Veterinarians,8,11,13,45
Kaibogaku zasshi. Journal of anatomy,6,8,11,12
Kaku igaku. The Japanese journal of nuclear medicine,7,11,14,34
Kekkaku : [Tuberculosis],7,9,11,28
Kennedy Institute of Ethics journal,10,10,15,4
Kentucky nurse,16,16,16,1
Khirurgiia,10,12,15,82
Klinicheskaia khirurgiia,8,11,13,39
Klinicheskaia laboratornaia diagnostika,6,9,11,42
Klinicheskaia meditsina,9,11,14,69
Klinika oczna,10,12,14,34
Kyobu geka. The Japanese journal of thoracic surgery,8,10,11,133
La Medicina del lavoro,7,11,15,22
La Pediatria medica e chirurgica : Medical and surgical pediatrics,8,10,12,34
La Radiologia medica,8,11,14,99
La Revue du praticien,4,7,12,47
Laboratory investigation; a journal of technical methods and pathology,10,13,17,115
Lancet,11,14,16,336
Langmuir : the ACS journal of surfaces and colloids,6,8,11,213
Learning & behavior,9,11,12,9
Leprosy review,9,11,13,15
Leukemia,11,15,18,135
Leukemia research,11,14,17,103
Life sciences,11,14,16,401
Local population studies,10,10,10,1
Luzifer-Amor : Zeitschrift zur Geschichte der Psychoanalyse,8,8,8,2
Lymphology,8,11,14,15
MGMA connexion / Medical group Management Association,5,6,7,5
MLO: medical laboratory observer,6,9,9,7
MMW Fortschritte der Medizin,7,9,11,19
MMWR. Morbidity and mortality weekly report,8,10,13,88
MMWR. Recommendations and reports : Morbidity and mortality weekly report. Recommendations and reports / Centers for Disease Control,6,11,16,11
Malaria journal,13,16,19,66
Malawi medical journal : the journal of Medical Association of Malawi,17,17,17,1
Malaysian journal of nutrition,13,13,14,2
"Managed care (Langhorne, Pa.)",6,6,6,1
Marketing health services,5,14,15,3
Masui. The Japanese journal of anesthesiology,9,10,13,132
Materials management in health care,8,8,8,1
MedGenMed : Medscape general medicine,9,10,11,5
Medical anthropology quarterly,9,12,15,8
Medical care,12,15,18,110
Medical device technology,5,7,9,22
Medical economics,7,7,8,2
Medical image computing and computer-assisted intervention : MICCAI ... International Conference on Medical Image Computing and Computer-Assisted Intervention,11,12,14,55
Medical informatics and the Internet in medicine,13,13,13,1
Medical physics,7,9,12,201
Medical problems of performing artists,15,15,15,4
Medicine,15,16,21,16
"Medicine and health, Rhode Island",4,4,8,2
Medicine and law,7,8,11,36
"Medicine, conflict, and survival",6,11,14,7
"Medicine, science, and the law",8,11,13,24
Medicinski arhiv,5,7,9,43
Medicinski pregled,6,8,10,46
Meditsina truda i promyshlennaia ekologiia,9,10,13,42
Meditsinskaia parazitologiia i parazitarnye bolezni,8,10,14,33
Meditsinskaia tekhnika,4,6,8,49
Medizinhistorisches Journal,10,10,10,1
Medsurg nursing : official journal of the Academy of Medical-Surgical Nurses,8,10,14,10
Medycyna pracy,9,12,15,55
Medycyna wieku rozwojowego,11,14,18,19
Mental retardation,8,9,11,7
Metabolism: clinical and experimental,12,14,17,172
Metal ions in life sciences,7,7,7,1
Methods in molecular medicine,7,10,12,13
Microbial cell factories,7,10,11,11
Microbial ecology,9,12,13,38
Microbiological research,9,11,14,21
"Microbiology (Reading, England)",10,12,16,155
Midwifery today with international midwife,8,8,8,1
Mikrobiologiia,5,7,9,70
Military medicine,10,12,14,106
Minnesota medicine,7,9,13,9
Missouri medicine,7,8,13,10
Modern healthcare,6,7,10,34
Molecular & cellular biomechanics : MCB,9,9,10,4
Molecular & general genetics : MGG,8,11,14,170
Molecular and biochemical parasitology,10,12,15,95
Molecular and cellular biology,13,16,20,438
Molecular cancer,13,18,22,26
Molecular carcinogenesis,13,15,20,54
Molecular cell,12,16,20,96
Molecular ecology,10,12,15,103
Molecular genetics and genomics : MGG,10,13,16,25
Molecular immunology,11,13,16,124
Molecular pharmacology,12,14,17,190
Molecular phylogenetics and evolution,9,11,14,96
Molecular vision,14,18,20,59
Molekuliarnaia biologiia,8,10,12,75
"Molekuliarnaia genetika, mikrobiologiia i virusologiia",7,9,9,17
Monash bioethics review,2,2,2,1
"Morbidity and mortality weekly report. Surveillance summaries (Washington, D.C. : 2002)",13,13,17,4
Motor control,10,12,14,5
Muscle & nerve,11,14,16,122
Mycologia,7,9,12,34
Mycological research,5,8,10,23
NASN school nurse (Print),7,7,10,2
Nagoya journal of medical science,6,9,14,14
National health statistics reports,11,11,11,2
"National vital statistics reports : from the Centers for Disease Control and Prevention, National Center for Health Statistics, National Vital Statistics System",7,9,16,3
Natural product communications,6,8,10,36
Nature,10,13,16,442
Nature cell biology,13,18,22,45
Nature chemical biology,8,9,14,13
Nature chemistry,8,10,12,9
Nature clinical practice. Cardiovascular medicine,8,10,12,6
Nature clinical practice. Gastroenterology & hepatology,14,14,14,1
Nature clinical practice. Nephrology,12,16,16,3
Nature clinical practice. Rheumatology,10,10,12,2
Nature genetics,12,16,20,96
Nature immunology,13,16,19,44
Nature materials,6,6,12,12
Nature medicine,12,15,19,57
Nature methods,9,12,14,23
Nature nanotechnology,5,6,8,6
Nature neuroscience,11,15,19,53
Nature reviews. Cancer,9,9,10,4
Nature reviews. Drug discovery,5,5,16,2
Nature reviews. Genetics,10,10,14,2
Nature reviews. Immunology,10,10,13,5
Nature reviews. Microbiology,8,8,13,4
Nature reviews. Molecular cell biology,8,8,10,2
Nature reviews. Neuroscience,8,8,8,1
Nature structural & molecular biology,10,13,16,33
Nebraska Symposium on Motivation. Nebraska Symposium on Motivation,17,17,17,1
Nederlands tijdschrift voor geneeskunde,8,11,14,141
Nederlands tijdschrift voor tandheelkunde,6,8,11,34
Nepal Medical College journal : NMCJ,10,11,13,14
Nephrology news & issues,10,10,10,4
Nephrology nursing journal : journal of the American Nephrology Nurses' Association,10,10,19,8
Neuro endocrinology letters,12,14,17,38
Neurologia i neurochirurgia polska,10,12,14,61
Neurology,10,13,17,388
Neuron,12,16,20,115
New Zealand veterinary journal,11,11,13,4
Newsweek,10,10,11,2
Nigerian journal of clinical practice,11,14,16,23
Nigerian journal of medicine : journal of the National Association of Resident Doctors of Nigeria,10,14,19,22
Nigerian quarterly journal of hospital medicine,14,15,19,6
Nihon Geka Gakkai zasshi,8,10,13,62
Nihon Hoshasen Gijutsu Gakkai zasshi,5,7,10,25
Nihon Jibiinkoka Gakkai kaiho,8,9,11,42
Nihon Jinzo Gakkai shi,9,12,13,30
Nihon ishigaku zasshi. [Journal of Japanese history of medicine],3,5,12,3
Nihon rinsho. Japanese journal of clinical medicine,5,7,9,33
Nihon seirigaku zasshi. Journal of the Physiological Society of Japan,10,10,13,2
Nihon shinkei seishin yakurigaku zasshi = Japanese journal of psychopharmacology,6,6,9,4
Nihon yakurigaku zasshi. Folia pharmacologica Japonica,12,14,16,48
Nippon Ganka Gakkai zasshi,8,10,11,60
No shinkei geka. Neurological surgery,9,11,13,84
No to hattatsu. Brain and development,8,10,12,36
North Carolina medical journal,10,10,15,7
Northwest dentistry,4,4,4,1
Novartis Foundation symposium,12,15,20,5
Nucleic acids research,9,11,14,778
Nuncius / Istituto e museo di storia della scienza,7,7,7,2
Nurse researcher,4,4,5,8
Nursing children and young people,6,8,8,3
Nursing economic$,6,7,7,12
Nursing education perspectives,10,13,14,12
"Nursing management (Harrow, London, England : 1994)",7,8,8,8
Nursing older people,5,8,9,9
Nursing praxis in New Zealand inc,9,9,9,4
